Timestamp,Cálculo 1,Cálculo 2,Cálculo 3,Cálculo 4,Física 1,Física 2,Física 3,Física 4,Progamação 1,Programação 2,Geometria analítica,Álgebra linear,Matéria adicional 1,Nota 1,Matéria adicional 2,Nota 2,Matéria adicional 3,Nota 3,Matéria adicional 4,Nota 4,Matéria adicional 5,Nota 5
11/16/2016 20:32:49,10,7,8,9,9,9,Não Fiz,Não Fiz,9,Não Fiz,9,7,,,,,,,,,,
11/16/2016 20:33:40,6,6,5,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,6,Não Fiz,5,Não Fiz,,,,,,,,,,
11/16/2016 20:35:49,5,5,5,5,6,8,5,Não Fiz,Não Fiz,Não Fiz,8,8,,,,,,,,,,
11/16/2016 20:37:39,6,9,6,6,6,,,,6,,6,9,,,,,,,,,,
11/16/2016 20:43:57,9,10,,,,,8,9,,,7,,7500004 Matemática Aplicada à Química (~Cálculo III),8,FCM0221 Física Geral para Químicos (~Física I + II) ,10,,,,,,
11/16/2016 20:47:10,6,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,6,Não Fiz,,,,,,,,,,
11/16/2016 20:47:47,6,2,Não Fiz,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,1,1,Introdução a Ciência de Computação 2,10,Organização de Computadores,8,Engenharia de Software,5,Programação Orientada a Objeto,8,Grafos,8
11/16/2016 20:48:42,6,5,5,5,6,5,5,5,6,6,7,7,,,,,,,,,,
11/16/2016 20:50:45,6,Não Fiz,Não Fiz,Não Fiz,4,Não Fiz,Não Fiz,Não Fiz,10,6,4,Não Fiz,,,,,,,,,,
11/16/2016 20:52:14,6,7,8,,9,10,,,7,,7,7,,,,,,,,,,
11/16/2016 20:54:34,7,7,8,8,7,6,7,Não Fiz,8,6,8,9,Probabilidade 1 (me210) ,6,,,,,,,,
11/16/2016 20:58:01,5,5,5,,4,4,5,,1,,,5,,,,,,,,,,
11/16/2016 20:58:30,8,8,Não Fiz,Não Fiz,7,8,Não Fiz,Não Fiz,9,Não Fiz,6,7,Estática,6,,,,,,,,
11/16/2016 21:00:24,5,5,5,9,6,5,5,Não Fiz,7,Não Fiz,7,8,SME0305 - Métodos Numéricos e Computacionais I,7,SME0306 - Métodos Numéricos e Computacionais II,8,FFI0180 - Laboratório de Física Geral I,9,FFI0181 - Laboratório de Física Geral II,9,FCM0184 - Laboratório de Física Geral III,7
11/16/2016 21:01:27,5,5,5,5,6,5,5,6,6,Não Fiz,9,6,,,,,,,,,,
11/16/2016 21:01:30,5,8,5,Não Fiz,5,5,Não Fiz,,5,,5,,,,,,,,,,,
11/16/2016 21:02:19,8,9,9,10,7,8,9,Não Fiz,8,Não Fiz,8,9,,,,,,,,,,
11/16/2016 21:03:09,8,8,5,Não Fiz,7,Não Fiz,6,Não Fiz,8,Não Fiz,6,Não Fiz,Quimica Geral (QG101),6,,,,,,,,
11/16/2016 21:04:04,3,Não Fiz,Não Fiz,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,,,,,,,,,,
11/16/2016 21:04:16,7,6,5,6,7,Não Fiz,7,Não Fiz,10,10,7,5,,,,,,,,,,
11/16/2016 21:05:20,6,7,6,Não Fiz,6,8,Não Fiz,Não Fiz,6,Não Fiz,6,4,,,,,,,,,,
11/16/2016 21:05:21,5,5,5,5,6,5,6,7,6,6,6,5,,,,,,,,,,
11/16/2016 21:06:43,6,5,Não Fiz,Não Fiz,2,Não Fiz,Não Fiz,Não Fiz,10,7,5,3,,,,,,,,,,
11/16/2016 21:07:32,6,5,5,Não Fiz,7,7,Não Fiz,Não Fiz,5,Não Fiz,8,Não Fiz,,,,,,,,,,
11/16/2016 21:07:44,6,7,7,Não Fiz,5,5,6,Não Fiz,7,Não Fiz,8,7,,,,,,,,,,
11/16/2016 21:14:20,5,5,3,Não Fiz,5,5,Não Fiz,Não Fiz,7,7,7,3,,,,,,,,,,
11/16/2016 21:17:44,5,,,,6,,,,,,7,,,,,,,,,,,
11/16/2016 21:27:07,8,7,5,6,8,9,7,7,9,8,7,7,Cálculo Numérico (MS211),8,Sistemas Operacionais (MC504,8,Fundamentos Matemáticos para a Computação (MC358),8,Fenômenos do Transporte (EM524),8,Circuitos Lógicos (EA772),7
11/16/2016 21:27:17,5,5,5,Não Fiz,5,7,Não Fiz,Não Fiz,8,Não Fiz,5,Não Fiz,Circuitos 1 ,10,Circuitos 2,6,Mecânica Geral,7,,,,
11/16/2016 21:32:57,9,9,10,Não Fiz,10,9,Não Fiz,8,7,7,8,8,Espaços Métricos,7,Cálculo Numérico,7,Mecânica Quântica I,10,Mecânica Quântica II,7,Equações Diferenciais Ordinárias,10
11/16/2016 21:33:27,8,6,7,Não Fiz,7,Não Fiz,7,Não Fiz,9,9,7,9,,,,,,,,,,
